0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5,5,6,5,3,1,0,7,3,3,4,3,0,2,4,0.3458331508836938,233480479.41454494,93147127.74743807,0.05866003683463662,115300000.0,16115.285769367663
1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,9,7,1,7,0,5,4,0,4,0,3,0,1,0,0,0.012669972910516306,247831628.21809146,33490621.782781776,0.07102718582501154,485000000.0,7284.2119489980205
0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,3,4,5,6,7,2,0,4,7,3,6,5,4,6,7,0.38641207282855355,4020299.6299637626,178637784.38950902,0.002685806947059835,297900000.0,0.0
0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,3,7,2,6,8,2,9,8,4,2,7,2,3,0,3,0,0.00013907156626397494,163380813.89785436,65327771.35403373,0.01649695077694116,656500000.0,10065.306369141499
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,4,5,4,4,3,10,7,6,2,4,3,0,1,0.3257126988022917,35213524.27974183,92285423.21989417,0.029704003455000974,369700000.0,0.0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,2,3,3,5,6,4,7,7,0,7,4,2,7,1,7,0.010683095624220523,219925.03533971976,170830446.4040973,3.6845737221537964e-05,115300000.0,2685.7108489573825
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,6,5,9,1,1,7,4,5,7,2,0,0.03166227992946585,0.0,121630313.64279157,0.0,169200000.0,4433.576102417294
1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,6,1,0,5,4,6,3,10,2,2,7,0,0,6,7,0.024638087247558234,89835833.3947419,116923236.04604127,0.027417780454234677,321100000.0,3668.893268804553
1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,4,1,4,1,6,2,3,5,1,4,5,6,0,5,3,4,0.011765647632044133,23539.95905452392,142208761.05861872,1.8010453241969376e-06,442300000.0,2440.202135452875
1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,2,6,3,4,3,3,4,6,4,2,0,1,5,0,5,0,0.0033857423761601527,34848344.352033556,54444477.23563117,0.0036650617169435087,916200000.0,3954.8586465166068
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,9,0,2,2,0,5,5,4,3,0,5,0,6,3,0.05080616769550046,170536451.08354652,98100554.26950684,0.1190518012761145,230600000.0,0.0
0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,3,5,3,1,3,3,3,10,3,4,0,2,3,0,0,0,0.0010973851893428827,333108561.9576044,16373078.863592021,0.0310946520497013,515700000.0,21873.467205776633
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,7,4,2,7,7,3,0,3,2,7,6,1,10,0,7,0.2764141958348929,0.0,159986889.79349825,0.0,303800000.0,0.0
0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,10,6,8,8,5,4,7,2,9,7,6,3,9,6,7,0.0,0.0,224032513.95667803,0.0,303800000.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,7,2,2,7,6,4,9,5,1,4,0,7,0,0,0,0.0020824070730288404,635223867.5216017,26008389.578208447,0.06476473716595044,286800000.0,40204.80109175044
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,0,7,2,4,5,7,6,4,8,6,2,5,3,0.006675788259153899,86036179.0269146,152162223.57057345,0.00905623666128536,84600000.0,6239.370992173277
0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,5,7,10,1,2,10,7,4,4,1,4,0,0,0,0.08557096746970075,374508839.8322848,28394046.033258095,0.29658477695826774,267200000.0,0.0
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,2,5,6,0,1,4,7,4,7,0,2,0,1.6808906420309038,74851638.8788596,74744702.0932678,0.056920219400848945,290400000.0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,7,1,4,7,2,9,9,8,3,7,2,4,0,2,0,0.0002736593683404292,417881895.47563773,64234741.099472195,0.04125657722684054,279200000.0,25005.18022665698
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6,2,3,5,4,7,4,5,1,2,7,0,0,1,7,0.019646723648572444,325234399.53054994,93325908.07269065,0.10319714513973265,115300000.0,11087.378307969664
1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,7,7,1,2,6,9,6,5,10,5,2,3,4,1,0,0.0168479645097329,211854.5827872651,92453026.70907432,0.00018755572956726934,1713500000.0,0.0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,6,4,0,0,1,2,1,7,5,7,4,0,2,3,0,0.25199280205193303,1431337.9534251944,86567113.48201263,0.0003573249797222431,236500000.0,17687.966386522665
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,7,1,7,10,5,2,3,5,2,9,6,5,3,5,0.4174577487075251,4617997.435419235,165520036.5631119,0.0031524482519329875,290400000.0,0.0
0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,3,7,6,7,4,4,6,0,7,6,3,0,1,0,5,4,0.07921746436356195,50570760.321027815,91604252.03919876,0.004213056096590691,321100000.0,20896.280582620573
1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,6,2,3,1,6,7,7,2,4,0,3,0,0,0,4,0.012544099884808129,59641586.89668629,41830524.25380514,0.017427158544798163,690800000.0,4730.797385092491
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,3,0,2,5,7,8,8,2,4,4,4,0,0,4,0.0344960326497946,348783695.99592197,66847293.70960295,0.037725607378722076,199900000.0,22484.9774546235
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,3,7,6,1,3,2,4,0,1,10,7,3,0,0,0.07944281627918394,43920905.60947251,78392044.8446439,0.0041438832336734115,151900000.0,22514.642667448727
0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,7,10,0,1,6,4,0,4,7,7,4,0,4,0,6,0.6786980771010125,355141.64545218647,105971809.87947223,0.00024685638779411696,492600000.0,0.0
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,3,6,7,4,2,1,3,4,7,4,5,6,3,0,3,0.01441045805843538,66196968.23281601,103308974.41921166,0.00625592423395324,146000000.0,12396.486368830154
1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,2,2,7,1,3,1,7,4,5,0,2,5,0,5,0,0.3041640828481426,14817810.198755411,55846910.96710935,0.00834317758181139,952800000.0,0.0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,9,5,1,6,6,1,8,6,7,7,5,2,3,1,4,9.60387946234681e-05,83769377.87517007,135461171.03963614,0.00915782007046215,92100000.0,5645.813378240394
0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,1,4,3,4,3,1,10,4,4,1,6,4,0,3,3,0.0155054893302089,105662596.22813882,95525334.50832552,0.013665001257481019,267200000.0,9708.291443713637
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,8,5,5,5,5,7,1,2,5,8,3,3,5,0.09991165137278488,35026971.175504036,148341342.0089789,0.026414513159956354,199900000.0,0.0
